index,text,true_label,predicted_label,category
185664,user harmless and nonviolent?really? i beg to differ. go mets!,positive,negative,contrast
172108,t-mobile austria accidentally announced the 32gb iphone url (via user),positive,negative,other
48561,user fell down a volcano. got my first hug line. had way too much eggs and beans. got sick and it was the best trip of my life.,positive,negative,mixed
234020,just talked to her mom.. thank god at least phone does work!! -since yesterday mobile network is totally down-,negative,positive,mixed
201667,writing a report on &quot;the tundra&quot; .. how interesting!,negative,positive,sarcasm
182508,"user probably. i have to be sober enough to drive by tomorrow morning tho. but hey, there are only 4 guinnesses in my fridge.",positive,negative,informal
30817,"bored . i don't want to study moore.. good luck in argentina , mcfly!",positive,negative,mixed
21587,soo bored! cant wait until school gets out so i can get the cd,positive,negative,mixed
157378,realizes that waiting until later to tweet about something you thought of earlier makes you forget that tweet,negative,positive,other
123358,user whom do yu wanna kill ??,positive,negative,other
104096,'he' is nagging me to get a move on.. men!!,negative,positive,informal
20850,good morning tweetland i have yo say that before the storm in live is horrible niley neverr,negative,positive,informal
108298,reckoned his flu was psychological..he was wrong. but noticed that when he's sick he doesnt give a fuck and rules at jenga! i like that,positive,negative,mixed
206135,user i cant believe you moved!!..thanks for breaking my bike,positive,negative,sarcasm
22816,feet hurt. oww wore some killer heels last nite! havin' a dose of yummy chocolate cake right now!,positive,negative,mixed
176481,user thanks hun i think he is.. but no idea about where is him :s,positive,negative,other
188693,"user haha, oh yes!! but dang it, my pockets are empty! which mags have you bought?",negative,positive,mixed
105470,she wants u 2 take her shopping so that she can look like ms. k at school.,positive,negative,other
167260,user darn forgot to watch it..thanks 4 the reminder..have 2 watch on demand now!,positive,negative,mixed
126572,user yep i do indeedy!! workin tonite!! hows u?? xx,negative,positive,informal
